#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_30_length_18811_cov_24.310111	1	18811	6807	18775	99.8086	52.7525	30	58.9
NODE_31_length_18546_cov_29.877958	1	18546	8443	18145	97.8378	66.3463	30	58.9
NODE_32_length_18207_cov_55.347049	1	18207	15559	17988	98.7972	124.496	30	58.9
NODE_33_length_17936_cov_187.829778	1	17936	49169	17936	100	398.92	30	58.3
NODE_34_length_16721_cov_47.027579	1	16721	11356	16610	99.3362	99.7428	30	59.1
NODE_35_length_15977_cov_46.316226	1	15977	11585	15958	99.8811	103.928	30	58.7
NODE_36_length_14402_cov_32.979190	1	14402	7488	14264	99.0418	73.696	30	56.4
NODE_37_length_13013_cov_44.780612	1	13013	8388	13013	100	94.405	30	58.9
NODE_38_length_12878_cov_184.542301	1	12878	36030	12878	100	402.821	30	58.4
NODE_39_length_12338_cov_64.624144	1	12338	11830	12300	99.692	140.01	30	59
NODE_40_length_12130_cov_38.792614	1	12130	7041	11824	97.4773	85.0905	30	59.2
NODE_41_length_12022_cov_153.967602	1	12022	26186	12022	100	321.363	30	59.3
NODE_42_length_11872_cov_143.590844	1	11872	26809	11628	97.9447	323.483	30	57.2
NODE_43_length_11367_cov_35.199823	1	11367	6035	11333	99.7009	77.1729	30	58.8
NODE_44_length_11279_cov_56.261471	1	11279	9646	11175	99.0779	123.319	30	58
NODE_45_length_10904_cov_134.269050	1	10904	21609	10904	100	287.765	30	58.9
NODE_46_length_10814_cov_161.425671	1	10814	27579	10680	98.7609	363.656	30	57.6
NODE_47_length_10794_cov_68.535504	1	10794	11206	10773	99.8054	150.893	30	58.7
NODE_48_length_9640_cov_63.051867	1	9640	7798	9640	100	117.724	30	55.7
NODE_49_length_9511_cov_570.249735	1	9511	76146	9424	99.0853	1189.89	30	59.6
NODE_50_length_9213_cov_171.021454	1	9213	35930	9213	100	469.963	30	57.5
NODE_51_length_9179_cov_32.837289	1	9179	4974	9113	99.281	78.3557	30	58.6
NODE_52_length_9017_cov_28.599038	1	9017	3751	8861	98.2699	60.785	30	59
NODE_53_length_8794_cov_33.789377	1	8794	4344	8794	100	72.3582	30	58.6
NODE_54_length_8399_cov_67.162701	1	8399	8161	8318	99.0356	142.654	30	59
NODE_55_length_8320_cov_51.623438	1	8320	6850	8320	100	110.372	30	53.6
NODE_56_length_8268_cov_25.389839	1	8268	3230	7613	92.0779	57.2055	30	59
NODE_57_length_8248_cov_88.365439	1	8248	12328	8076	97.9146	220.754	30	59.4
NODE_58_length_8071_cov_190.557168	1	8071	22657	8061	99.8761	406.093	30	58.8
NODE_59_length_7876_cov_29.240031	1	7876	3474	7842	99.5683	64.3057	30	59.1
NODE_60_length_7675_cov_17.436036	1	7675	2013	7666	99.8827	38.4537	30	59.1
NODE_61_length_7397_cov_31.462022	1	7397	3445	7312	98.8509	68.2627	30	59.1
NODE_62_length_7374_cov_107.689684	1	7374	12467	7374	100	244.923	30	58.5
NODE_63_length_7375_cov_3.299081	1	7375	544	6368	86.3458	10.714	30	59.1
NODE_64_length_7224_cov_34.305066	1	7224	3759	7224	100	75.3963	30	58.7
NODE_65_length_7175_cov_69.851789	1	7175	9458	7175	100	166.144	30	56.5
NODE_66_length_6959_cov_64.039233	1	6959	7051	6959	100	141.511	30	57.9
NODE_67_length_6557_cov_186.945833	1	6557	17773	6557	100	393.884	30	58.7
NODE_68_length_6437_cov_7.923113	1	6437	764	6310	98.027	17.2744	30	58.9
NODE_69_length_6247_cov_88.412804	1	6247	8060	6247	100	187.004	30	58.8
NODE_70_length_6042_cov_181.354401	1	6042	16264	6042	100	390.423	30	58.4
NODE_71_length_5864_cov_70.935372	1	5864	5945	5864	100	148.636	30	59
NODE_72_length_5703_cov_24.113224	1	5703	2121	5703	100	53.7056	30	58.9
NODE_73_length_5565_cov_35.769679	1	5565	2831	5565	100	74.5094	30	59
NODE_74_length_5421_cov_35.413361	1	5421	2745	5421	100	74.0587	30	58.8
NODE_75_length_5292_cov_83.064430	1	5292	6482	5225	98.7339	178.254	30	58.8
NODE_76_length_5234_cov_45.286989	1	5234	3668	5234	100	98.7639	30	57.6
NODE_77_length_4973_cov_254.015931	1	4973	17980	4973	100	530.228	30	58.6
NODE_78_length_4956_cov_108.729453	1	4956	8622	4838	97.619	252.851	30	58.8
NODE_79_length_4935_cov_10709.922602	1	4935	905551	4935	100	24529.4	30	52.5
NODE_80_length_4904_cov_24.566605	1	4904	1830	4904	100	53.0314	30	58.2
NODE_81_length_4903_cov_24.997096	1	4903	1300	4515	92.0865	37.8513	30	57.8
NODE_82_length_4821_cov_24.801855	1	4821	1745	4821	100	52.4213	30	58.8
NODE_83_length_4735_cov_35.363890	1	4735	2450	4735	100	74.8076	30	58.8
NODE_84_length_4612_cov_57.277178	1	4612	3723	4612	100	118.34	30	59
NODE_85_length_4586_cov_42.379020	1	4586	2746	4586	100	87.9932	30	59.3
NODE_86_length_4339_cov_41.096903	1	4339	2630	4339	100	88.7594	30	59.2
NODE_87_length_4279_cov_26.273917	1	4279	1608	4279	100	54.6658	30	58.8
NODE_88_length_4078_cov_32.331917	1	4078	2055	4078	100	70.2594	30	53.4
NODE_89_length_4068_cov_8.939113	1	4068	522	4068	100	18.721	30	59.2
NODE_90_length_4065_cov_81.364343	1	4065	4813	4065	100	171.433	30	58.6
NODE_91_length_3897_cov_177.529073	1	3897	12196	3897	100	456.787	30	58.9
NODE_92_length_3880_cov_4.536156	1	3880	305	3751	96.6753	11.275	30	58.8
NODE_93_length_3797_cov_17.296774	1	3797	977	3797	100	36.8362	30	58.7
NODE_94_length_3790_cov_2.120388	1	3790	369	3790	100	13.3675	30	46.1
NODE_95_length_3631_cov_124.944288	1	3631	7248	3631	100	292.24	30	59.1
NODE_96_length_3553_cov_71.440449	1	3553	3533	3553	100	146.877	30	59.3
NODE_97_length_3260_cov_7.211635	1	3260	366	3117	95.6135	16.3163	30	59.3
NODE_98_length_3183_cov_290.060528	1	3183	25026	3183	100	889.614	30	54.5
NODE_99_length_3165_cov_67.433614	1	3165	3087	3165	100	141.05	30	58.8
NODE_100_length_3111_cov_30.160514	1	3111	1302	3111	100	61.9	30	59.4
NODE_101_length_2991_cov_40.939602	1	2991	1748	2991	100	85.1067	30	58.6
NODE_102_length_2958_cov_103.653940	1	2958	4873	2958	100	227.283	30	54.9
NODE_103_length_2803_cov_8.603448	1	2803	356	2803	100	18.2843	30	58.5
NODE_104_length_2671_cov_34.144179	1	2671	1316	2671	100	71.1587	30	58.6
NODE_105_length_2634_cov_13.387564	1	2634	4114	2634	100	125.027	30	8.34
NODE_106_length_2631_cov_34.207909	1	2631	3271	2631	100	126.599	30	23.9
NODE_107_length_2603_cov_6.286619	1	2603	240	2603	100	13.2436	30	58.8
NODE_108_length_2568_cov_97.631473	1	2568	3775	2568	100	206.975	30	57.7
NODE_109_length_2503_cov_31.795136	1	2503	1133	2503	100	65.1906	30	58.5
NODE_110_length_2491_cov_3.632822	1	2491	158	2323	93.2557	9.0273	30	58.7
NODE_111_length_2228_cov_14.376104	1	2228	518	2228	100	31.7482	30	58.2
NODE_112_length_2191_cov_415.845317	1	2191	13120	2191	100	863.084	30	58.6
NODE_113_length_2160_cov_882.394143	1	2160	25078	2160	100	1703.48	30	54.3
NODE_114_length_2092_cov_16.229777	1	2092	608	2092	100	39.8666	30	57.3
NODE_115_length_2058_cov_11.807168	1	2058	351	2058	100	24.5496	30	58.8
NODE_116_length_2041_cov_12.621181	1	2041	438	2041	100	30.3067	30	57.6
NODE_117_length_2033_cov_46.880368	1	2033	1442	2033	100	100.023	30	58.5
NODE_118_length_2024_cov_22.343606	1	2024	661	2024	100	46.6393	30	58.3
NODE_119_length_1983_cov_4.834732	1	1983	140	1983	100	10.0676	30	58.8
NODE_120_length_1963_cov_14.765642	1	1963	442	1963	100	31.0632	30	57
NODE_121_length_1959_cov_156928.134431	1	1959	4141217	1959	100	187568	30	56.3
NODE_122_length_1903_cov_41.732749	1	1903	1083	1903	100	84.2081	30	59.4
NODE_123_length_1889_cov_12.580574	1	1889	338	1889	100	25.7877	30	58.8
NODE_124_length_1751_cov_63.637395	1	1751	1524	1751	100	128.215	30	59.4
NODE_125_length_1706_cov_24.169429	1	1706	588	1706	100	49.779	30	58.2
NODE_126_length_1695_cov_7.422126	1	1695	2310	1695	100	104.479	30	5.18
NODE_127_length_1638_cov_11.304292	1	1638	367	1638	100	27.7503	30	51.2
NODE_128_length_1606_cov_2070.928058	1	1606	49875	1606	100	4380.14	30	57.3
NODE_129_length_1571_cov_8.322624	1	1571	188	1571	100	17.3304	30	58.6
NODE_130_length_1481_cov_13.508547	1	1481	1586	1481	100	88.7603	30	11.3
NODE_131_length_1316_cov_1.529459	1	1316	66	1316	100	6.8617	30	55.5
NODE_132_length_1301_cov_11.182190	1	1301	321	1301	100	28.4804	30	49.6
NODE_133_length_1248_cov_12.551665	1	1248	254	1248	100	27.2075	30	51.9
NODE_134_length_1145_cov_7.574906	1	1145	112	1145	100	14.6279	30	60
NODE_135_length_1141_cov_10.206767	1	1141	155	1141	100	20.0123	30	59.3
NODE_136_length_1135_cov_16.503781	1	1135	262	1135	100	33.0432	30	58.1
NODE_137_length_1121_cov_323.632184	1	1121	4746	1121	100	628.393	30	59.5
NODE_138_length_1107_cov_2.745631	1	1107	68	1050	94.8509	8.26739	30	52.2
NODE_139_length_1084_cov_11.004965	1	1084	160	1084	100	21.6218	30	57.6
NODE_140_length_1083_cov_63.367793	1	1083	914	1083	100	124.657	30	59.3
NODE_141_length_1062_cov_77.154315	1	1062	1152	1062	100	155.376	30	58.5
NODE_142_length_1055_cov_8.197342	1	1055	124	1055	100	16.6284	30	58
NODE_143_length_1032_cov_8.029319	1	1032	110	1032	100	15.6279	30	58.5
NODE_144_length_982_cov_32.776796	1	982	460	982	100	65.8462	30	57.3
NODE_145_length_946_cov_59062.540852	1	946	759352	946	100	116550	30	58.6
NODE_146_length_904_cov_50.012092	1	904	654	904	100	101.821	30	56.5
NODE_147_length_902_cov_270.687273	1	902	3331	902	100	524.682	30	57.5
NODE_148_length_902_cov_0.787879	1	902	79	902	100	9.94568	30	22.8
NODE_149_length_883_cov_9.831266	1	883	171	883	100	21.1597	30	44
NODE_150_length_858_cov_3.548015	1	858	63	858	100	8.29371	30	49.6
NODE_151_length_855_cov_142.479434	1	855	1648	855	100	277.485	30	57.5
NODE_152_length_828_cov_5.595206	1	828	62	828	100	10.8889	30	59.6
NODE_153_length_814_cov_10.877883	1	814	112	814	100	20.4447	30	59.6
NODE_154_length_803_cov_23.707989	1	803	238	803	100	44.4259	30	59.9
NODE_155_length_801_cov_10.600829	1	801	110	801	100	20.2959	30	59.5
NODE_156_length_795_cov_7.633705	1	795	82	795	100	14.7447	30	57.8
NODE_157_length_792_cov_12.213986	1	792	131	787	99.3687	23.9747	30	58.9
NODE_158_length_792_cov_4.467133	1	792	48	792	100	8.72096	30	57.3
NODE_159_length_767_cov_2.479710	1	767	26	767	100	4.86701	30	58
NODE_160_length_762_cov_9.075912	1	762	98	762	100	18.021	30	57.6
NODE_161_length_761_cov_4.195906	1	761	41	761	100	7.92378	30	59.2
NODE_162_length_756_cov_553.285714	1	756	5299	756	100	1038.66	30	59.5
NODE_163_length_707_cov_2.847619	1	707	26	707	100	5.36634	30	58
NODE_164_length_706_cov_2.794913	1	706	25	706	100	5.23938	30	59.5
NODE_165_length_700_cov_0.402866	1	700	26	700	100	4.66143	30	44.2
NODE_166_length_700_cov_1.130016	1	700	36	700	100	6.17714	30	42.8
NODE_167_length_668_cov_3.245347	1	668	41	668	100	7.61377	30	57.9
NODE_168_length_656_cov_4.727116	1	656	42	656	100	9.10976	30	58.2
NODE_169_length_655_cov_2.823529	1	655	31	655	100	6.26412	30	53.4
NODE_170_length_651_cov_304236.308362	1	651	2934772	651	100	530300	30	57.9
NODE_171_length_646_cov_1.583480	1	646	13	646	100	3.01858	30	59.1
NODE_172_length_645_cov_6.677817	1	645	52	645	100	12.0899	30	59.6
NODE_173_length_644_cov_3.245150	1	644	26	644	100	6.04969	30	60
NODE_174_length_641_cov_605.588652	1	641	4856	641	100	1098.17	30	58.3
NODE_175_length_632_cov_269667.992793	1	632	2354988	632	100	441315	30	52.6
NODE_176_length_625_cov_1.937956	1	625	19	625	100	4.3824	30	57.1
NODE_177_length_621_cov_2.058824	1	621	20	621	100	4.43478	30	57.9
NODE_178_length_619_cov_10.595941	1	619	86	619	100	20.0065	30	59.3
NODE_179_length_602_cov_2.697719	1	602	23	602	100	5.50166	30	59.6
NODE_180_length_600_cov_0.793499	1	600	10	600	100	2.38667	30	56.8
NODE_181_length_587_cov_0.592157	1	587	12	587	100	2.44463	30	54.7
NODE_182_length_583_cov_1154.337945	1	583	8245	573	98.2847	2095.42	30	59.3
NODE_183_length_578_cov_5.419162	1	578	42	578	100	10.154	30	56.9
NODE_184_length_575_cov_22.128514	1	575	158	575	100	40.1357	30	58.9
NODE_185_length_560_cov_0.979296	1	560	8	560	100	2.14286	30	58.5
NODE_186_length_546_cov_6.535181	1	546	217	546	100	25.7143	30	19.8
NODE_187_length_546_cov_2.364606	1	546	29	546	100	6.91941	30	46.8
NODE_188_length_545_cov_3.467949	1	545	43	545	100	10.2844	30	55.6
NODE_189_length_542_cov_7.806452	1	542	54	542	100	14.6642	30	58.8
NODE_190_length_519_cov_6.529412	1	519	45	519	100	12.185	30	57.8
NODE_191_length_519_cov_0.990950	1	519	6	519	100	1.7341	30	60
NODE_192_length_504_cov_1.433255	1	504	16	498	98.8095	4.32937	30	51.2
NODE_193_length_502_cov_8.124706	1	502	48	502	100	14.3426	30	60
NODE_194_length_500_cov_3.366430	1	500	20	500	100	5.928	30	58.3
NODE_195_length_490_cov_2.259080	1	490	37	490	100	10.5694	30	47.2
NODE_196_length_486_cov_1.231144	1	486	20	486	100	4.63374	30	52.1
NODE_197_length_478_cov_0.713217	1	478	4	478	100	1.25523	30	60
NODE_198_length_468_cov_1.279188	1	468	119	468	100	23.5876	30	17.1
NODE_199_length_465_cov_6.829897	1	465	40	465	100	12.3247	30	59.2
NODE_200_length_461_cov_0.760417	1	461	4	461	100	1.30152	30	60
NODE_201_length_459_cov_0.693717	1	459	6	459	100	1.57081	30	51.2
NODE_202_length_452_cov_1.752000	1	452	9	452	100	2.98673	30	60
NODE_203_length_452_cov_0.957333	1	452	6	452	100	1.99115	30	60
NODE_204_length_447_cov_1.051351	1	447	7	447	100	2.07606	30	60
NODE_205_length_445_cov_5.201087	1	445	34	445	100	10.1663	30	58.5
NODE_206_length_444_cov_1.068120	1	444	10	435	97.973	2.67342	30	47.2
NODE_207_length_441_cov_64.851648	1	441	325	441	100	110.361	30	60
NODE_208_length_435_cov_6.248603	1	435	58	435	100	15.2023	30	54.3
NODE_209_length_435_cov_2.650838	1	435	13	435	100	4.48276	30	59.8
NODE_210_length_432_cov_115.081690	1	432	565	432	100	194.572	30	59.9
NODE_211_length_430_cov_4.249292	1	430	22	430	100	7.43256	30	59
NODE_212_length_429_cov_2.886364	1	429	34	429	100	11.0932	30	51
NODE_213_length_426_cov_0.836676	1	426	4	426	100	1.40845	30	60
NODE_214_length_422_cov_0.826087	1	422	4	422	100	1.4218	30	60
NODE_215_length_422_cov_0.750725	1	422	10	422	100	2.46919	30	57.2
NODE_216_length_421_cov_0.636628	1	421	9	421	100	1.98575	30	55.2
NODE_217_length_420_cov_1.489796	1	420	8	420	100	2.62857	30	52.5
NODE_218_length_417_cov_8.314706	1	417	120	417	100	38.0552	30	45.5
NODE_219_length_417_cov_1.288235	1	417	6	417	100	2.15827	30	60
NODE_220_length_417_cov_0.776471	1	417	6	417	100	1.91607	30	42.5
NODE_221_length_414_cov_0.872404	1	414	10	414	100	2.44928	30	57
NODE_222_length_413_cov_1.235119	1	413	21	413	100	5.25666	30	20.4
NODE_223_length_413_cov_0.827381	1	413	4	413	100	1.45278	30	60
NODE_224_length_412_cov_0.811940	1	412	6	412	100	1.68447	30	60
NODE_225_length_410_cov_0.795796	1	410	7	410	100	2.10732	30	58.7
NODE_226_length_409_cov_2.030120	1	409	22	409	100	6.28117	30	45.5
NODE_227_length_409_cov_1.138554	1	409	52	409	100	13.2152	30	27.2
NODE_228_length_407_cov_0.730303	1	407	6	407	100	2.20393	30	60
NODE_229_length_406_cov_0.647416	1	406	8	406	100	2.09113	30	53.6
NODE_230_length_404_cov_0.874618	1	404	4	404	100	1.48515	30	60
NODE_231_length_403_cov_0.920245	1	403	19	403	100	4.84615	30	29.6
NODE_232_length_402_cov_0.898462	1	402	4	402	100	1.49254	30	60
NODE_233_length_401_cov_0.663580	1	401	3	401	100	1.12219	30	60
NODE_234_length_400_cov_40.136223	1	400	218	400	100	72.8475	30	54.6
NODE_235_length_398_cov_4.230530	1	398	22	398	100	7.90452	30	58.7
NODE_236_length_393_cov_2.158228	1	393	34	393	100	8.91094	30	46.4
NODE_237_length_391_cov_1.436306	1	391	16	391	100	4.65473	30	43.7
NODE_238_length_390_cov_1.137380	1	390	8	390	100	2.49231	30	60
NODE_239_length_387_cov_0.746795	1	387	28	387	100	6.96899	30	18.7
NODE_240_length_387_cov_14.125806	1	387	71	387	100	25.4987	30	56.4
NODE_241_length_387_cov_0.887097	1	387	4	387	100	1.55039	30	60
NODE_242_length_386_cov_6.132686	1	386	27	386	100	10.2383	30	58.8
NODE_243_length_386_cov_0.728155	1	386	6	386	100	2.07513	30	59
NODE_244_length_385_cov_0.948052	1	385	4	385	100	1.55844	30	60
NODE_245_length_383_cov_46.343137	1	383	237	383	100	84.8068	30	57.6
NODE_246_length_383_cov_0.787582	1	383	8	383	100	2.49086	30	45.8
NODE_247_length_382_cov_69.121311	1	382	294	382	100	114.429	30	59.4
NODE_248_length_381_cov_0.960526	1	381	4	381	100	1.5748	30	60
NODE_249_length_381_cov_0.638158	1	381	4	381	100	1.31759	30	60
NODE_250_length_379_cov_429.503311	1	379	1815	379	100	685.784	30	57.5
NODE_251_length_378_cov_0.970100	1	378	4	378	100	1.5873	30	60
NODE_252_length_376_cov_1.464883	1	376	6	376	100	2.39362	30	60
NODE_253_length_375_cov_7.067114	1	375	32	375	100	12.4053	30	59
NODE_254_length_375_cov_2.446309	1	375	10	375	100	4	30	60
NODE_255_length_375_cov_1.140940	1	375	6	375	100	2.04	30	58
NODE_256_length_374_cov_2.410774	1	374	10	374	100	4.0107	30	60
NODE_257_length_372_cov_5.440678	1	372	22	372	100	8.87097	30	60
NODE_258_length_372_cov_1.061017	1	372	6	372	100	2.19892	30	58
NODE_259_length_371_cov_1.986395	1	371	8	371	100	3.2345	30	58.5
NODE_260_length_370_cov_1.375427	1	370	6	370	100	2.35946	30	60
NODE_261_length_370_cov_1.204778	1	370	5	370	100	1.99459	30	60
NODE_262_length_369_cov_1.000000	1	369	4	369	100	1.62602	30	60
NODE_263_length_367_cov_2.393103	1	367	15	367	100	5.41962	30	49.5
NODE_264_length_366_cov_1.792388	1	366	8	366	100	3.27869	30	60
NODE_265_length_363_cov_164623.286713	1	363	684891	363	100	268148	30	55.3
NODE_266_length_363_cov_0.643357	1	363	4	363	100	1.40771	30	60
NODE_267_length_362_cov_2.315789	1	362	17	362	100	5.05801	30	39.9
NODE_268_length_361_cov_0.704225	1	361	4	361	100	1.4072	30	60
NODE_269_length_360_cov_2.349823	1	360	13	360	100	5.00278	30	59.8
NODE_270_length_360_cov_1.257951	1	360	5	360	100	2.08333	30	60
NODE_271_length_360_cov_1.031802	1	360	4	360	100	1.66667	30	60
NODE_272_length_359_cov_1.120567	1	359	32	359	100	8.13928	30	19.6
NODE_273_length_359_cov_0.992908	1	359	4	359	100	1.67131	30	60
NODE_274_length_358_cov_2.982206	1	358	20	358	100	8.06704	30	54.4
NODE_275_length_358_cov_1.558719	1	358	6	358	100	2.51397	30	60
NODE_276_length_356_cov_198671.913978	1	356	824140	356	100	330765	30	57.3
NODE_277_length_355_cov_1.532374	1	355	8	355	100	2.93521	30	60
NODE_278_length_353_cov_0.706522	1	353	4	353	100	1.69122	30	60
NODE_279_length_352_cov_14.283636	1	352	54	352	100	23.0114	30	59.6
NODE_280_length_352_cov_1.061818	1	352	4	352	100	1.70455	30	60
NODE_281_length_352_cov_0.796364	1	352	3	352	100	1.27841	30	60
NODE_282_length_351_cov_2.934307	1	351	16	351	100	6.31339	30	58
NODE_283_length_350_cov_110.684982	1	350	472	350	100	186.386	30	57.1
NODE_284_length_350_cov_1.113553	1	350	10	350	100	2.98857	30	55.7
NODE_285_length_350_cov_1.069597	1	350	4	350	100	1.71429	30	60
NODE_286_length_348_cov_0.642066	1	348	4	348	100	1.5546	30	60
NODE_287_length_348_cov_0.638376	1	348	3	348	100	1.27299	30	60
NODE_288_length_347_cov_4.066667	1	347	16	347	100	6.72046	30	59.2
NODE_289_length_347_cov_1.985185	1	347	8	347	100	3.45821	30	60
NODE_290_length_343_cov_2.195489	1	343	8	343	100	3.49854	30	59.5
NODE_291_length_343_cov_0.932331	1	343	4	343	100	1.67347	30	58.2
NODE_292_length_343_cov_0.691729	1	343	5	343	100	1.52187	30	46.2
NODE_293_length_342_cov_1.256604	1	342	6	342	100	2.63158	30	60
NODE_294_length_342_cov_0.826415	1	342	3	342	100	1.31579	30	60
NODE_295_length_341_cov_47.988636	1	341	241	341	100	94.0323	30	53.8
NODE_296_length_340_cov_0.984791	1	340	6	340	100	2.36471	30	60
NODE_297_length_339_cov_1.671756	1	339	6	339	100	2.65487	30	60
NODE_298_length_339_cov_1.114504	1	339	5	339	100	2.21239	30	58.2
NODE_299_length_338_cov_1.632184	1	338	10	338	100	3.71598	30	58.9
NODE_300_length_338_cov_1.118774	1	338	18	338	100	4.63905	30	30.9
NODE_301_length_337_cov_1.684615	1	337	6	337	100	2.67062	30	60
NODE_302_length_336_cov_1.536680	1	336	9	336	100	3.9375	30	55.1
NODE_303_length_336_cov_1.162162	1	336	9	336	100	3.72619	30	55.8
NODE_304_length_336_cov_1.077220	1	336	45	336	100	14.9375	30	23.5
NODE_305_length_334_cov_1.136187	1	334	4	334	100	1.79641	30	60
NODE_306_length_334_cov_1.136187	1	334	4	334	100	1.79641	30	60
NODE_307_length_334_cov_0.587549	1	334	4	334	100	1.47006	30	45.2
NODE_308_length_333_cov_1.140625	1	333	4	333	100	1.8018	30	60
NODE_309_length_332_cov_1.576471	1	332	6	332	100	2.61747	30	59.7
NODE_310_length_330_cov_1.154150	1	330	4	330	100	1.81818	30	60
NODE_311_length_330_cov_1.047431	1	330	6	330	100	2.10606	30	59.3
NODE_312_length_330_cov_0.861660	1	330	37	330	100	10.6515	30	13.4
NODE_313_length_330_cov_0.687747	1	330	5	330	100	1.86364	30	42.8
NODE_314_length_329_cov_3.908730	1	329	14	329	100	6.27356	30	59.4
NODE_315_length_329_cov_2.003968	1	329	18	329	100	7.12766	30	56.8
NODE_316_length_328_cov_4.685259	1	328	18	328	100	8.0122	30	59.3
NODE_317_length_328_cov_1.828685	1	328	16	328	100	6.07927	30	45.9
NODE_318_length_327_cov_1.152000	1	327	5	327	100	2.0581	30	60
NODE_319_length_327_cov_0.876000	1	327	3	327	100	1.37615	30	60
NODE_320_length_324_cov_2.979757	1	324	26	324	100	8.20062	30	44.3
NODE_321_length_321_cov_1.337398	1	321	8	321	100	3.24922	30	59.1
NODE_322_length_320_cov_1.004065	1	320	8	320	100	2.83438	30	50.5
NODE_323_length_322_cov_0.795918	1	322	3	322	100	1.34161	30	60
NODE_324_length_321_cov_2.692623	1	321	38	321	100	12.676	30	27.7
NODE_325_length_321_cov_1.795082	1	321	8	321	100	3.67601	30	60
NODE_326_length_321_cov_1.463115	1	321	6	321	100	2.5514	30	58
NODE_327_length_320_cov_3.004115	1	320	10	320	100	4.6875	30	60
NODE_328_length_320_cov_1.172840	1	320	4	320	100	1.875	30	60
NODE_329_length_319_cov_1.400826	1	319	11	319	100	3.95925	30	43.3
NODE_330_length_319_cov_1.194215	1	319	4	319	100	1.88088	30	60
NODE_331_length_317_cov_2.279167	1	317	9	317	100	3.91167	30	59
NODE_332_length_317_cov_1.675000	1	317	14	317	100	6.28707	30	46.8
NODE_333_length_317_cov_1.216667	1	317	4	317	100	1.89274	30	60
NODE_334_length_317_cov_1.050000	1	317	9	317	100	4.06625	30	57.2
NODE_335_length_317_cov_0.633333	1	317	3	317	100	1.22713	30	60
NODE_336_length_316_cov_0.686192	1	316	3	316	100	1.25	30	60
NODE_337_length_315_cov_1.840336	1	315	6	315	100	2.85714	30	58
NODE_338_length_313_cov_1.588983	1	313	6	313	100	2.67412	30	60
NODE_339_length_313_cov_1.220339	1	313	4	313	100	1.90415	30	57.8
NODE_340_length_311_cov_1.871795	1	311	6	311	100	2.89389	30	60
NODE_341_length_311_cov_1.247863	1	311	4	311	100	1.92926	30	60
NODE_342_length_309_cov_4.193966	1	309	45	309	100	14.5858	30	40.9
NODE_343_length_308_cov_80.108225	1	308	303	308	100	132.175	30	53.4
NODE_344_length_308_cov_1.558442	1	308	6	308	100	2.92208	30	60
NODE_345_length_308_cov_0.748918	1	308	6	308	100	1.98701	30	56.8
